speaker,speech
,<I>
A,So continue uh
B,Continue what
A,No you you get silence man
B,No uh never mind
C,Hey want to come on
C,What's your name uh
C,Really
C,I don't know your name
A,Yak hey sound like that kind of phone-call my
A,Try harder
C,I got this thing for married women
A,Go on not provocative enough
B,Uh tell us about it
C,Provided she's not Christian uh
C,Is she Christian uh
C,Maybe we should talk about her
C,We will we will see how professional she is
A,A how
B,So what's happening with your married colleague
C,Shhhhh
C,<unclear> word </unclear>
C,In case she knows we never mention name
B,Ya I didn't mention any name what
A,Ya I still didn't
A,I didn't hear anything
C,Ya just just as a caution
A,Precautionary measure 'A' I actually thought I was bad enough to <unclear> word </unclear>
A,I know I have one account that has about ten dollars every year
A,I thought that's really really bad
A,Ya So how
A,Don't tell me the plan is going to die just for money
C,'A' let's talk about Gerry
C,Gerry what about your <unclear> word </unclear>
C,Tell us about our <unclear> word </unclear>
B,What what <unclear> word </unclear>
B,What <unclear> word </unclear>
C,You know those those <unclear> word </unclear> in your class
A,Those that you are so so proud of <unclear> word </unclear>
A,You won't nuh you gladly no let it play on
C,What's her name uh
C,Do you remember
A,Oh yes of course
C,Fourteen and then
A,Someone nuh
A,Can I have three main aims
A,Synonym for happiness
A,I don't know about the others lah
A,Don't know the name of anyone else
B,<unclear> word </unclear>
A,Oh you already bought it
C,Can you stop fingering your naked woman
A,Cannot ah
A,Okay lah
A,Uh you may do it lah
A,Actually I think it is really well done
C,More well done than real life women
A,Oh has has he seen your
C,Men are better workmen than you all
A,you know your Indian stuff
B,What what Indian stuff
A,Your Indian num music core
C,Pornography
A,You can't even call it pornography because they're all outside temples
A,Very public uh and
C,Ya lah true lah <unclear> word </unclear>
A,it's
B,You're still smoking uh
C,No
A,I remember the sickly sweet taste
A,How to avoid it
C,Eruptica Religious eruptica
A,Religious
C,Hindus are great
A,Wah wah this smell my my my
C,Any other religion combines this
A,Why is this one like much louder than any one else's
C,spirituality
B,Much louder than any one else's
A,Ya I mean it's so huge you know the print
A,Look at this
C,So they're pasted on uh
A,Not so huge uh this one
B,Because this is from imported from Indonesia
A,Uhm Okay so the pot does that ah
B,<unclear> word </unclear>
C,These are imported also
A,This is the cruder kind of import
B,Ya this is where
C,Can't miss that
C,Is there anything particularly Singaporean about the belge
A,No
B,The the vowel quality is quite
A,Ya they're just the same boy any disgusting man
