speaker,speech
A,This is less or this is more
B,No just powder
B,I just cannot tahan you know
A,Then use less lah
B,Less is more
A,Less time waiting also
B,No the thing is I have to put on
B,Ok fine
A,Ah there is lots of seats
A,Then I receive from
B,Here
A,Not here
B,Usually go the other
A,In front of the building
B,We are supposed to
A,Supposed to what
B,Never mind
A,You speak louder ah
B,<O> laughs </O>
A,Why you so when you getting your license
A,Ah so when are you getting your license driving license
B,My dad says I should get my F T T first
B,Yeah so I You know my F T T is on the 15th of July
B,So after that maybe ah but I still can't decide whether I should do it private or uh school you know
A,At the first place why you think that no why you that you you shouldn't have a driving license since I got driving license
B,Ok lah
B,It's not easy getting a license
B,Ok first and foremost I am so unfamiliar with the roads
B,Ok that is first
B,Secondly I am quite scared actually to the way you described to me how to start a car
B,You know it makes me nervous
A,Even an old granny can drive
B,Who
A,Even an old granny can drive
B,Yeah but then again back to the whether I should take private or school
B,Not very sure lah
A,Then take private lah
B,How much you used to pay
B,Eight hundred something right
A,Eight hundred twenty-five
B,That is almost half you know of what you need to pay
A,But private you private you get good instructor ah
A,But before you take school school for women will be better
B,But it costs a bomb
B,Where might I get the money
B,You start working
A,Yeah maybe because I don't know through my experience private ah
A,You must have knowledge first
A,Then then you can engage the private because they won't
B,They wont' start from scratch right
A,No
B,That is the problem
A,They start from scratch but they don't have some sort of like a book
A,The first day ah
A,Lesson one Check safety
A,How to check uh your tyre
A,How to sit properly
B,I don't need that
A,That very important
B,That one is not written in the test
A,That is tested everything
B,During the exam
A,Ah because
B,Practical
A,Because you are driving
A,Wah you must know the proper way or where is the okay your mirror
B,You mean the private won't teach you that
A,Maybe just sit down
A,Ok Ok
A,I teach you ah
A,First gear ah just like that lah
B,Oh
A,If BBDC ah you sit down ah
A,Don't go inside the car
A,You walk around the car
A,Then he will tell you Ok
A,That's what I heard lah
A,To check whether your tyre has punctured or not
B,Your sister is in the school
A,Ah OK you sit down
A,Your mirror you adjust to what you adjust to where where you can see
A,So you adjust first until your view lah
A,Ah then he check for you
A,Everything is okay to drive off
A,First gear then slowly they teach you about metre also like that like that
A,You have private private teach you all that
B,I really need I really need them to start from scratch
A,Yeah lah of course
A,They will bring you to roads empty roads ah empty roads and all that
B,So where do you think I should take a BBDC or Comfort
A,BBDC
A,Take BBDC
A,BBDC better
B,Easy to pass right
A,Easy to pass
A,Safer
A,Ubi dangerous
A,Paya Lebar all heavy roads ah
A,Then they teach you all the technique lah
A,But you have to go for the class you know if you go to BBDC
A,You take your basic area to pass out
B,Yeah I also
A,Finally you successfully pass if you good lah better
A,After you pass you go to BBDC
B,Ah
A,Go to BBDC ah you have to take steady class
B,Still have to take steady class
A,Ah these steady class these steady class usually forthose people who haven't take BBDC ever basic and
B,So I no need lah
A,So you no need to take the basic class
A,Just attend the class so you just listen ah
B,I don't want to attend any class
A,You have to listen
A,You have to attend
A,The book ah you have to chop
A,So every time you just chop chop ah
B,Oh
A,So you just
A,It's ah it's very I've been to all the class before
A,Last time BBDC wah
A,Then I thought that's why good wah
A,They'll teach you all the uh the thing accident pro ah
A,They say Ok the correct way the thing very good
A,They try show you tape
A,Ok you see the newspaper the accident
A,Then why it happen Because it
B,Really
A,Yeah lah
A,They teach you very good
A,Then you no need pressure you know
A,Then if they ask Ok those so the lesson you can take while you're driving
A,Ok they give you one month all the schedule
A,You can come to these days these days
A,Ok lesson one what day what day
B,Oh
A,Ah you can
B,Ok how much you pay ah
B,You don't have to pay one lump sum right
B,You can pay bit by bit right Instalment
A,No no instalment
B,Two times wah
B,You can pay two times or three times
A,Ok twenty-five
A,Twenty-five lessons right
A,You don't book two lessons at a time two lessons at a time
A,At least you book ten lessons at a time
B,Ok
A,So you have twenty-five lessons right
A,So the first time you book ten
A,So the second time you book another ten
A,The third time you book five
A,Uh you book three times lah
A,But if you are very confident Ok the whole month you book everyday lah
A,That's why people can get license by one month
A,You book twenty-five days lah ah
B,That's why I start working
B,I start working I don't mind
A,Ok that's why I say you start working then you go and go for BBDC
A,You put one lump sum
A,Ok let's say got first pay ah Ok it's fifty-six you know fifty-six times ten is five sixty Ok
B,Five hundred sixty
A,Ah you book ten lessons first five hundred sixty
A,Then you relax first
A,Then half after you learn three lessons or four lessons you book another ten
A,Don't wait until the ten finish you book again
A,You a very long time to wait
B,Ok
A,Ah then you book another ten
B,But I think I can afford to do it in one month
B,What do you think
A,One month
B,Straight
B,Everyday
A,Everyday but you need to have the cash lah
B,My parents ah
A,A thousand over ah
B,My parents ah
A,You think you have to count lah
B,But I think I can make if I
A,You target yourself about three You target yourself half a year lah
A,I took one year no good
A,Target yourself half a year
A,You don't spend a lot ah
B,Half a year
B,But I need to drive everyday lah
A,At least one one time ah is hundred minutes
A,You know not one hour like me ah
B,Which is one hour
A,Forty minutes
B,Oh
A,Oh ah
A,That's the difference
B,Longer ah
A,Ah longer
A,So everyday you target hundred minutes hundred minutes
A,So like one hour can ah One one week two times Ok wah
A,It's very scary
A,I'm so scared when you drive
