,0
0,"B: Is that That's not enough for you [ah]
A: Thirsty I'll go and buy a drink do you want do you need another drink
B: No
B: *laughs*"
1,"B: After the camp because Cecilia said she has a friend who who knows some shops that will bring her around so she'll call me along
B: Then the church started calling and writing in so quite difficult the church to get a church
B: It's like those that allow us to book uh already it has been taken that day
B: That's why [ah]
B: It's actually I
B: That's what Siew Hong was telling that you know book the the church as early as possible you know
A: Ya but then yet there are many churches that allow us to book but they only allow us to book three months in advance"
2,"A: Ya but then yet there are many churches that allow us to book but they only allow us to book three months in advance
B: Uhm
A: You know that all the confusion
B: So you have to make your list [lah] which one allow you to book which one can convey the order
A: And now with the phone rates the phone charges
B: You have to spend a lot of money on it lah so you try
A: So I try to call as many as possible last week"
3,"A: You know that all the confusion
B: So you have to make your list lah which one allow you to book which one can convey the order
A: And now with the phone rates the phone charges
B: You have to spend a lot of money on it [lah] so you try
A: So I try to call as many as possible last week
A: *laughs*
A: Uh try until Saturday you know thirtieth of November"
4,"A: Uh try until Saturday you know thirtieth of November
A: *laughs*
A: And it's not cheap you know I heard one place Inter International Baptist Church they charges nine hundred dollars you know
B: Ah that one
B: Just for that afternoon
A: Ya and then uhm we wrote in but already taken up that day that we wanted actually they said still available you know so by that time we we write in our letter two weeks later already taken up
A: maybe it's also good that it's been taken up so costly uh"
5,"B: Just for that afternoon
A: Ya and then uhm we wrote in but already taken up that day that we wanted actually they said still available you know so by that time we we write in our letter two weeks later already taken up
A: maybe it's also good that it's been taken up so costly uh
A: nine hundred but on average about four hundred five hundred dollars both [lah] the reception and the sanctuary
A: How much have you to pay
A: Four hundred as a church member is it
A: Are you a church member"
6,"A: *laughs*
B: So where are you going to stay after
A: Rent rent rent a flat
B: You mean that the scheme that HDB has is it your applied already [ah]
A: Ha
A: Haven't
A: Don't know when to apply"
7,"A: So they'll ballot
B: Because uhm don't know what Jennifer was saying that she she doesn't want to
A: She bought a flat
B: She bought already [ah]
A: Uhm
B: Where
A: Uhm Chai Chee ten-year old flat"
8,"A: Uhm
B: Where
A: Uhm Chai Chee ten-year old flat
B: Chai Chee [ah]
A: Not bad know quite cheap it's 145 thousand
B: Five
A: But it's about ten years old"
9,"A: Not bad know quite cheap it's 145 thousand
B: Five
A: But it's about ten years old
B: Five five-room flat [ah]
A: Uhm
B: Uh uh not too bad
A: Quite good uh"
10,"B: Uhm
A: Yours is 11 something
B: Hm your flat is not facing west side right not exactly right
A: Where's the west [ah]
B: I thought your flat is slightly west is it
A: Where's the west
B: Near to the camp or you know your your facing there's a road right Chua Chu Kang way"
11,"A: Where's the west
B: Near to the camp or you know your your facing there's a road right Chua Chu Kang way
A: Ya facing Chua Chu Kang Way
B: I think that's the west you know Not exactly west [lah]
B: Probably slanted
A: Can't see sunset ah
B: Ya probably you'll see sunset but yours only on the third floor"
12,"A: Ya facing Chua Chu Kang Way
B: I think that's the west you know Not exactly west lah
B: Probably slanted
A: Can't see sunset [ah]
B: Ya probably you'll see sunset but yours only on the third floor
B: Maybe you can't see a lot
A: Eh but elevated not very sure because usually the flats are elevated"
13,"B: Up towards uh my side
A: Up ha
A: Then the three sides all flats
B: The other side [lah] ha
A: No no uhm my the other side is like car-park
B: Uhm
A: multi-storey car-park"
14,"B: Uhm
A: multi-storey car-park
A: What else do I need to prepare
B: What else [ah]
B: I don't know
B: I'm You should ask her
B: Not me"
15,"A: *laughs* Strangle her
B: Teacher now now teacher already
A: *laughs* Aiyah
B: So you decided not to quit already ha not to change job already lah now
A: Uhm
B: Do you know she you know he that the he join the NCC thing"
