0,num_singlish,output
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nA: Ya but then yet, there are many churches that allow us to book, but they only allow us to book three months in advance.\n\nB: Uhm.\n\nA: You know, all the confusion.\n\nB: So, you have to make your list lah, which one allows you to book, which one can convey the order.\n\nA: And now, with the phone rates.\n\nB: You have to spend a lot of money on it, so you try.\n\nA: So I try to call as many as possible last week.'}]",2,[' lah51']
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nB: Just for that afternoon.\n\nA: Ya, and then uhm we wrote in, but already taken up. That day we wanted, they said still available, you know. So by that time, we wrote in our letter. Two weeks later already taken up.\n\nA: Maybe it\'s also good that it\'s been taken up, so quite expensive leh - uh, nine hundred dollars. But on average, about four hundred to five hundred dollars both lah - the reception and the sanctuary.\n\nB: How much have you to pay?\n\nA: Four hundred as a church member is it?\n\nB: Are you a church member?'}]",3,"['leh33 ', ' lah21']"
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nA: Where\'s the West?\nB: Near to the camp. Or you know, if you\'re facing there, there\'s a road. Right, Chua Chu Kang way.\nA: Ya, facing Chua Chu Kang Way.\nB: I think that\'s the West. Not exactly West lah, probably slanted.\nA: Can\'t see sunset ah?\nB: Ya, probably you\'ll see sunset but only from the third floor.'}]",2,[' lah21']
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nB: Up towards, uh, my side.\nA: Up hah.\nA: Then the three sides, all flats.\nB: The other side lah.\nA: No, no, uhm... my the other side is like, a multi-storey car-park.'}]",2,[' lah51']
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nA: Then we spend what, huh? Five hours traveling and waiting.\nA: I left my house at one, met in school at two.\nA: Supposed to meet at two.\nA: Then some students came late, you know? Came about two plus almost three. So we left West coast lah, at three.\nA: Then we traveled, uh, okay. We waited for a long time for Fifty-One. After that, took the train. Then up till Eunos.\nA: Uh, the train broke down.\nB: Aiyoh.'}]",2,[' lah51']
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nB: How come you all go all the way to Pasir Ris, where you could have gone West Coast?\n\nA: Ya lor, because... ya, they couldn\'t get fully booked at west coast, so they could get it but Pasir Ris not bad leh. Their new park just beside NTUC quite nice quite nice. Then the sea part is quite ah, the beach is quite broad also ah. Different from west coast because west coast is very crowded what.'}]",2,"[ 'lor33', 'leh33']"
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nA: Then the sea part is quite broad, the beach is quite spacious also. Different from West Coast, \'cos West Coast is very crowded, right? All the ships and all that over there are very clear, so it\'s good. Ya lah, so that day was the last time. I won\'t be going down anymore for their practices.\n\nB: The other teacher has taken over.\n\nA: She has taken over since she joined in July. But she\'s away now in the States. So we just leave it to them on their own to carry out whatever practices lah.'}]",3,"[ 'lah51', 'lah21']"
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nB: We\'ll just show them how to use a catalogue, show them all our library. Bring them to the different departments, tell them what to do and all that.\n\nA: You know most of the lecturers?\n\nA: Not almost. It depends on the department. Like some new, some new lecturers and all that lah. When it comes, then...\n\nA: And then make an appointment with them. Then I know them by face.\n\nA: And all that. Others is like, based on what I know, is as an undergrad. Then I\'m supposed to do, uh, estate management, architecture.'}]",2,['lah21']
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nB: Ah, hah!\nB: Oh.\nA: I just took a break lah.\nA: Had to go back to my work just now.\nB: How many classes do you have to mark?\nA: Three.'}]",2,[' lah21']
"[{'role': 'user', 'content': 'Below is a transcript of a conversation involving Singaporeans who are speaking Singlish. Singlish is an English-based creole and contains particles such as ""lah"", ""lor"" and ""leh"". These particles have different pitches, depending on the context of the conversation. For the provided conversation transcript, attach an appropriate pitch for the Singlish particles:\nB: Oh.\nA: You know what I mean because I would have marked the paper I am going to get on Tuesday. It\'s not too difficult to mark.\nB: Who does the scheduling?\nA: The head of department (HOD) lah.\nB: Ah, okay.\nA: Ya, but I don\'t know. I\'ll see if I can\'t cope. If so, I might tell her. Then maybe, second next term, they can do something about it lah.\nA: Ya.'}]",3,"['lah51', ' lah21']"
